name,priority,dec_j2000,ra_j2000,v_mag,t0_bjd_tdb,t0_unc,period_days,period_unc,min_telescope_inches,depth_r_mmag,duration_hours,rp_over_rs,sma_over_rs,inclination,eccentricity,periastron
KELT-12b,high,+36:34:12.803,17:50:33.7179,10.59,2459020.83914,0.00021,5.0316328,1.9e-06,5.91,6.581975513209979,5.75,0.0772,6.1,84.5,0.0,0.0
KELT-14b,low,-42:24:35.115,07:13:12.3539,11.0,2458654.016813,7e-05,1.71005328,1.4e-07,5.0,12.197367209794715,2.25,0.1177,4.25,78.3,0.0,0.0
KELT-15b,high,-52:07:13.574,07:49:39.6019,11.39,2458973.57814,0.00012,3.329466,1.2e-06,5.0,12.1421338488447,4.13,0.1001,6.7,88.3,0.0,0.0
KELT-16b,low,+31:39:39.629,20:57:04.4386,11.72,2458392.597691,7.8e-05,0.968992962,9.7e-08,5.08,13.596612353861731,2.49,0.107,3.23,84.4,0.0,0.0
KELT-17b,low,+13:44:07.144,08:22:28.2047,9.23,2459440.791304,7.8e-05,3.08017985,5.1e-07,5.0,9.942004971002486,3.47,0.09526,6.38,84.87,0.0,0.0
KELT-18b,low,+59:26:39.288,14:26:05.7574,10.16,2458676.84596,0.00024,2.8716995,1.2e-06,5.0,8.607198748043817,4.65,0.0846,5.14,88.9,0.0,0.0
KELT-19Ab,medium,+07:36:56.814,07:26:02.2900,9.86,2458171.31415,0.00027,4.6117361,2.3e-06,5.0,12.445917334069778,4.4,0.10713,7.5,85.41,0.0,0.0
KELT-20b,medium,+31:13:09.215,19:38:38.7352,7.58,2459288.807775,2.1e-05,3.47410042,2.2e-07,5.0,14.369879407161925,3.53,0.1144,7.5,86.12,0.0,0.0
KELT-21b,low,+32:34:51.762,20:19:12.0049,10.48,2458881.93965,0.00023,3.61276958,9.5e-07,5.0,11.230783393169473,4.11,0.09952,6.86,86.46,0.0,0.0
KELT-23Ab,low,+66:21:31.544,15:28:35.1926,10.31,2458918.461247,2.1e-05,2.25528745,1.8e-07,5.0,19.764337659946605,2.29,0.132,7.556,85.96,0.0,0.0
KELT-24b,low,+71:39:21.156,10:47:38.3510,8.33,2459062.317991,5.1e-05,5.55149344,9.2e-07,5.0,9.757893767835773,4.35,0.0901,9.9178,89.17,0.077,55.0
KOI-12b,ttvs,+41:00:39.627,19:49:48.8934,11.51,2455711.66072,0.00011,17.8552276,4.5e-06,5.0,9.546165884194052,7.47,0.09049,18.89,88.95,0.0,0.0
KOI-13b,medium,+46:52:06.004,19:07:53.1049,9.7,2455777.161331,7.1e-06,1.763587619,2.8e-08,5.0,8.64402098867716,3.2,0.08737,4.5007,86.77,0.00064,5.0
KOI-94c,ttvs,+41:53:28.005,19:49:19.9344,12.311,2455679.81939,0.00051,10.423671,1.2e-05,75.99,0.8008837337752002,5.18,0.025673,15.7798,89.924,0.0,0.0
KOI-94d,ttvs,+41:53:28.005,19:49:19.9344,12.311,2455703.05975,0.00013,22.342972,5.9e-06,10.52,5.615391696584736,6.67,0.06802,27.3,89.87,0.0,0.0
KOI-94e,ttvs,+41:53:28.005,19:49:19.9344,12.311,2455809.04,0.0015,54.32002,0.00016,28.66,2.0068121145171682,8.47,0.04132,47.69,89.554,0.0,0.0
KPS-1b,low,+64:57:50.345,11:00:40.1821,13.033,2458888.7872,0.0002,1.70632513,8.9e-07,7.05,12.979839823253243,1.69,0.114,6.37,83.2,0.0,0.0
Kepler-5b,low,+44:02:06.189,19:57:37.6884,13.384,2455693.982258,2.4e-05,3.54846566,1.9e-07,11.17,7.751081653318604,4.54,0.07996,6.45,89.1,0.0,0.0
Kepler-6b,low,+48:14:23.759,19:47:20.9379,13.344,2455643.477519,1.5e-05,3.2346993,1.1e-07,8.07,10.936205468102735,3.59,0.09424,7.503,88.93,0.0,0.0
Kepler-7b,low,+41:05:23.365,19:14:19.5623,12.994,2455700.100198,2.4e-05,4.88548837,2.7e-07,9.8,7.69584829236859,5.25,0.08294,6.637,85.16,0.0,0.0
Kepler-12b,low,+50:02:25.271,19:04:58.4220,13.8,2455669.703585,2.3e-05,4.43796263,2.2e-07,10.08,17.232808616404306,4.69,0.11887,8.019,88.8,0.0,0.0
Kepler-14b,high,+47:19:58.876,19:10:50.1101,12.09,2454971.08821,6.8e-05,6.7901211,5.6e-07,15.52,3.9215686274509802,6.69,0.0569,8.213,90.0,0.0,0.0
Kepler-16b,high,+51:45:26.777,19:16:18.1759,12.261,2454973.4306,0.0022,228.776,0.02,5.54,17.610236582896068,7.19,0.1166,270.0,90.032,0.0069,318.0
Kepler-17b,low,+47:48:54.049,19:53:34.8643,14.307,2455185.67875,7e-06,1.48571099,2e-08,9.79,20.694099235938506,2.29,0.13031,5.48,87.2,0.0,0.0
Kepler-18c,high,+44:44:46.807,19:52:19.0688,13.767,2454960.767838,0.000502,7.64156219,5.7e-07,54.75,2.310595599742244,3.51,0.04549,14.43,87.68,0.0,0.0
Kepler-18d,ttvs,+44:44:46.807,19:52:19.0688,13.767,2455704.09996,0.00025,14.8589223,9.1e-06,37.58,3.3324127773175,3.73,0.0578,22.5,88.07,0.0,0.0
Kepler-41b,low,+45:58:53.876,19:38:03.1746,14.509,2455664.159537,1.8e-05,1.855557555,7.8e-08,13.51,11.09269999079444,2.46,0.10253,5.053,82.214,0.0,0.0
Kepler-63b,low,+49:32:53.451,19:16:54.2861,11.733,2455010.8434,2.8e-05,9.43415035,3.3e-07,15.71,3.9491853079259873,2.9,0.0622,19.12,87.806,0.0,0.0
Kepler-76b,low,+39:37:08.340,19:36:46.1090,13.39,2455654.042121,1.9e-05,1.544928884,6.6e-08,19.27,5.900764061493142,1.47,0.1033,4.46,77.55,0.0,0.0
Kepler-91b,high,+44:07:00.239,19:02:41.4978,12.82,2454969.39814,7.7e-05,6.24654458,2.52e-06,156.24,0.38663352665009665,10.68,0.022,2.484,69.8,0.05,300.0
Kepler-105b,high,+46:16:34.384,19:11:32.9514,12.92,2455669.72916,0.00029,5.412203,3.7e-06,107.23,0.8192948540918714,3.3,0.028,9.65,85.94,0.0,0.0
Kepler-138b,high,+43:17:34.680,19:21:31.5679,13.168,2454956.236,0.003,10.3134,0.0003,773.97,0.11967228205836325,1.89,0.01104,28.0,88.45,0.006,23.0
Kepler-396c,ttvs,+48:58:38.561,19:44:31.8713,12.26,2455546.7461,0.0062,88.5127,0.0013,15.39,3.3876461382675136,7.41,0.0524,96.1,90.0,0.0,0.0
Kepler-411c,high,+49:31:23.712,19:10:25.3469,12.55,2454968.22286,6.3e-05,7.83443068,6.5e-07,38.12,2.2277455583172237,1.58,0.0449,28.58189017689996,88.61,0.108,103.0
Kepler-422b,low,+46:19:23.993,18:50:31.1173,13.562,2455641.565849,2.6e-05,7.89144912,4.9e-07,8.8,10.687655343827672,4.3,0.0957,14.2,88.3,0.0,0.0
Kepler-435b,high,+43:11:50.160,19:29:08.9490,13.91,2455724.455024,7.9e-05,8.6001545,1.7e-06,23.75,4.72245236122618,9.02,0.06384,6.35,85.51,0.114,104.0
Kepler-444b,high,+41:38:04.581,19:19:00.5488,8.86,2454955.459,0.003,3.600119,4e-06,1202.0,0.027616680475006903,2.11,0.00491,11.95,88.0,0.0,0.0
Kepler-444c,high,+41:38:04.581,19:19:00.5488,8.86,2454955.4333,0.0016,4.5458697,2e-06,709.47,0.046027800791678175,2.26,0.00605,13.96,88.2,0.0,0.0
Kepler-444e,high,+41:38:04.581,19:19:00.5488,8.86,2454960.352,0.0023,7.743503,3e-06,562.17,0.055233360950013806,2.84,0.00664,19.91,89.1,0.0,0.0
Kepler-447b,low,+48:33:35.944,19:01:04.4557,12.554,2455702.924679,3.4e-05,7.79430304,5.4e-07,24.16,3.728251864125932,1.15,0.17,20.41,86.55,0.12,98.3
Kepler-854b,low,+43:08:04.832,19:33:24.3099,13.644,2455668.279705,2.2e-05,2.14463318,1.1e-07,8.73,14.664457332228665,3.9,0.119,3.73,79.0,0.0,0.0
Kepler-1656b,alert,+39:54:42.531,18:57:53.3246,11.252,2455011.47,0.9,31.562,0.011,26.18,2.154101077050538,2.12,0.04191,38.7,89.31,0.836,53.9
Kepler-1658b,high,+38:56:50.518,19:37:25.5732,11.556,2455005.9241,0.000169,3.84937278,8e-07,54.62,1.0310227377335912,3.21,0.0369,4.04,76.52,0.0628,352.27
L98-59b,high,-68:18:46.799,08:18:07.6215,11.685,2458828.05812,0.00024,2.2531154,1.7e-06,106.46,0.6996225720335082,0.97,0.02512,15.0,87.71,0.103,192.0
L98-59c,alert,-68:18:46.799,08:18:07.6215,11.685,2458902.42094,0.00014,3.6906716,1.5e-06,38.37,1.7766731105587774,1.28,0.04088,19.0,88.11,0.103,261.0
L98-59d,high,-68:18:46.799,08:18:07.6215,11.685,2458847.03715,0.00025,7.450737,5.4e-06,47.47,1.6293841480254072,0.87,0.0448,33.7,88.449,0.074,180.0
LHS475b,high,-82:33:16.167,19:20:54.3761,12.69,2459822.376259,2.6e-05,2.029088,6e-06,85.89,1.0494338580502622,0.67,0.03257,15.87235,87.194,0.0,0.0
LHS1140b,high,-15:16:17.543,00:44:59.3314,14.15,2458103.084207,4.3e-05,24.73721,1.7e-05,19.59,6.876553438276718,2.1,0.0739,95.3,89.89,0.0,0.0
LHS1140c,high,-15:16:17.543,00:44:59.3314,14.15,2458226.843969,1.8e-05,3.7779329,2.8e-06,42.21,3.77427966491761,1.15,0.05486,26.57,89.92,0.0,0.0
LHS1478b,high,+76:33:11.250,02:57:18.2591,13.304,2458786.75425,0.00042,1.9495378,4e-06,53.42,2.2277455583172237,0.71,0.0462,16.119,87.452,0.0,0.0
LHS1678b,high,-39:47:12.150,04:32:42.6349,12.482,2459121.1688,0.0052,0.8602322,6.8e-06,232.43,0.44186688760011045,0.77,0.0192,8.16,87.55,0.0,0.0
LHS1678c,high,-39:47:12.150,04:32:42.6349,12.482,2459120.3606,0.004,3.694247,2.4e-06,98.34,0.8837337752002209,1.27,0.0272,21.56,89.09,0.0,0.0
LHS3844b,high,-69:10:08.320,22:41:58.1173,15.26,2458828.93037,0.00025,0.46292964,3.3e-07,40.21,5.155113688667955,0.52,0.0635,7.11,88.5,0.0,0.0
LP714-47b,medium,-12:05:02.454,04:16:45.6005,12.492,2458774.70336,0.00024,4.0520345,2.6e-06,14.62,5.615391696584736,1.51,0.0751,15.9,87.3,0.04,219.0
LP791-18b,high,-16:24:22.285,11:02:45.9543,17.288,2458645.94405,0.00066,0.948005,5.8e-06,87.56,4.326613274417748,0.6,0.0604,11.1,87.3,0.0,0.0
LP791-18c,high,-16:24:22.285,11:02:45.9543,17.288,2458905.78256,0.0002,4.9899054,2.6e-06,19.94,19.745926539629934,1.21,0.1238,34.5,89.55,0.0,0.0
LP791-18d,high,-16:24:22.285,11:02:45.9543,17.288,2458772.16211,0.0005,2.753436,1.3e-05,94.23,3.4520850593758627,0.91,0.05192,23.43970089889121,89.34,0.0,0.0
LTT1445Ab,alert,-16:35:36.022,03:01:51.3928,10.529,2458905.71556,0.00071,5.358777,1.1e-05,16.85,2.5315290435422995,1.53,0.0458,29.6,89.4,0.19,221.0
LTT1445Ac,high,-16:35:36.022,03:01:51.3928,10.529,2458412.58159,0.00059,3.1239035,3.4e-06,71.72,0.9389671361502347,0.42,0.0396,21.56,87.43,0.0,0.0
LTT3780b,high,-11:43:00.241,10:18:35.1370,13.14,2458543.9115,0.0011,0.768448,5.5e-05,97.13,1.30718954248366,0.81,0.033,7.03,87.1,0.0,0.0
LTT3780c,high,-11:43:00.241,10:18:35.1370,13.14,2458608.11003,0.00045,12.252208,2.7e-05,31.89,3.3416183374758353,1.39,0.057,51.2,89.18,0.0,0.0
LTT9779b,high,-37:37:40.523,23:54:40.2073,9.76,2458724.90098,0.00013,0.79206425,2.8e-07,31.22,1.66620638865875,0.82,0.0455,3.877,76.39,0.0,0.0
MASCARA-4b,high,-66:06:49.892,09:50:19.2005,8.19,2459321.97544,6.3e-05,2.8240759,5.3e-06,5.0,7.465709288410199,3.88,0.08,5.97,88.5,0.0,0.0
MASCARA-1b,alert,+10:44:19.944,21:10:12.3723,8.27,2457097.2788,0.002,2.14878,8e-06,5.0,6.2873975881432385,4.17,0.0735,4.1871,87.0,0.0,0.0
NGTS-1b,high,-36:37:50.896,05:30:51.4522,15.57,2458586.32972,0.0004,2.6473068,1.7e-06,19.56,20.988677161005246,1.2,0.239,12.2,85.27,0.0,0.0
NGTS-2b,high,-31:12:07.437,14:20:29.4890,10.961,2459238.77448,0.00025,4.511123,3.7e-06,5.0,11.074288870477767,4.65,0.0962,8.0,88.5,0.0,0.0
NGTS-5b,low,+05:36:19.417,14:44:13.9704,13.77,2457740.35262,0.00026,3.3569866,2.6e-06,9.79,26.9446745834484,2.2,0.1579,11.11,86.6,0.0,0.0
NGTS-6b,low,-30:23:57.719,05:03:10.9028,14.12,2458712.72373,0.00024,0.8820585,3.3e-07,13.26,13.70707907576176,0.96,0.18,4.784,78.23,0.0,0.0
NGTS-8b,alert,-14:04:06.225,21:55:54.1981,13.72,2457500.17909,0.00072,2.4997,1e-05,9.54,15.53898554727055,2.61,0.114,7.6,86.9,0.0,0.0
NGTS-9b,alert,-19:20:51.559,09:27:40.9609,12.8,2458518.9479,0.0019,4.435272,1.1e-05,19.46,4.860535763601215,2.06,0.08,9.06,84.1,0.0,0.0
NGTS-10b,low,-25:35:41.676,06:07:29.3376,14.34,2457518.84377,0.00017,0.7668944,3e-07,12.28,25.6006628003314,1.09,0.1765,4.447,78.95048202037923,0.0,0.0
NGTS-11b,high,-14:25:09.155,01:34:05.1360,12.41,2458390.7043,0.0016,35.45533,0.00019,6.77,10.172143974960877,3.6,0.101,56.0,89.16,0.13,32.0
NGTS-12b,alert,-35:38:26.137,11:45:00.0094,12.27,2458572.8549,0.0017,7.532806,4.8e-05,11.61,5.615391696584736,5.89,0.0678,10.28,88.9,0.0,0.0
NGTS-13b,alert,-38:08:22.961,11:44:57.6835,12.744,2458572.8247,0.0018,4.119027,2.3e-05,12.95,5.256374850409647,5.28,0.0656,6.6,88.7,0.086,213.6
NGTS-24b,low,-37:54:36.486,11:14:15.3343,13.225,2458100.6229,0.0011,3.4678796,7e-06,15.83,5.550952775476388,2.94,0.0768,6.37,82.61,0.0,0.0
PH2b,high,+51:57:45.409,19:19:03.2633,12.73,2455196.07182,0.000221,282.5254595,9.316e-05,6.38,9.951210531160822,10.93,0.092,176.7,89.83,0.41,3.44
Qatar-1b,low,+65:09:43.490,20:13:31.6176,12.84,2457475.204489,3.8e-05,1.420024443,4.9e-08,7.02,23.38212280217251,1.66,0.1463,6.25,84.08,0.0,0.0
Qatar-2b,low,-06:48:14.419,13:50:37.4100,13.3,2457008.18278,3.2e-05,1.337116562,5.9e-08,9.27,34.714167357083674,1.84,0.16327,6.45,88.99,0.0,0.0
Qatar-3b,medium,+36:12:46.773,23:56:36.4831,12.88,2457367.6584,0.0001,2.50789979,7.5e-07,9.58,9.316026880235661,3.1,0.0888,6.4,86.8,0.0,0.0
Qatar-4b,low,+44:01:39.484,00:19:26.2245,13.6,2458919.58363,0.00015,1.80536403,5.4e-07,10.08,23.400533922489185,2.14,0.138,7.1,87.5,0.0,0.0
Qatar-5b,low,+42:03:40.943,00:28:12.9437,12.82,2457593.01599,0.00014,2.87929997,7e-07,7.53,13.753106876553437,2.9,0.1061,8.3,88.7,0.0,0.0
Qatar-6b,low,+22:09:09.160,14:48:50.4764,11.5,2457784.0327,0.00049,3.506195,1.8e-05,5.0,18.11654239160453,1.59,0.151,12.61,86.01,0.0,0.0
Qatar-7b,medium,+37:01:18.584,23:54:03.6389,13.03,2458303.419733,9.3e-05,2.03202332,3.3e-07,7.96,14.65525177207033,3.58,0.11,4.84,89.0,0.0,0.0
Qatar-8b,low,+70:31:37.649,10:29:39.1059,11.71,2459362.37977,0.0002,3.7146458,2.9e-06,5.0,11.341250115069501,4.13,0.1014,6.39,84.6,0.0,0.0
Qatar-9b,low,+60:57:51.159,10:42:59.5933,14.023,2459275.4837,0.00012,1.54077512,4.5e-07,10.7,28.88704777685722,1.87,0.1489,7.236,89.23,0.0,0.0
Qatar-10b,low,+69:34:15.066,18:57:46.5537,12.868,2459108.413073,9.2e-05,1.64532652,5e-07,6.64,18.9358372456964,2.77,0.1265,4.9,85.87,0.0,0.0
TIC237913194b,high,-60:44:23.836,01:29:46.9565,12.057,2458319.15055,0.00077,15.168865,1.8e-05,7.62,9.868360489735801,1.91,0.1031,29.23,87.0,0.575,24.1
TIC257060897b,medium,+72:42:37.247,15:10:07.6705,11.81,2458979.84075,0.00021,3.660033,2.2e-06,6.49,8.238976341710393,4.61,0.0841,6.05,86.0,0.03,20.0
TOI-122b,high,-58:56:42.251,22:11:47.2998,15.526,2458425.60256,0.00063,5.07803,1.5e-05,31.35,5.919175181809813,1.25,0.075,25.2,88.4,0.0,0.0
TOI-125b,high,-66:40:32.952,01:34:22.7347,11.02,2458578.6394,0.0015,4.651853,1.9e-05,42.13,1.0678449783669335,2.98,0.0295,13.16,88.92,0.194,323.0
TOI-125c,high,-66:40:32.952,01:34:22.7347,11.02,2458673.1649,0.0018,9.154545,4.7e-05,43.94,1.0310227377335912,2.88,0.02985,20.66,88.54,0.066,70.0
TOI-139b,high,-34:54:34.496,22:25:36.5462,10.4,2458334.8906,0.001,11.07085,2.4e-05,32.5,1.261161741691982,2.43,0.0321,33.159,89.32,0.0,0.0
TOI-150.01,high,-73:36:22.149,07:31:51.7567,11.39,2459029.1705,0.00016,5.8574204,3.3e-06,5.76,8.192948540918715,5.89,0.0826,8.0,88.09,0.0,0.0
TOI-157b,low,-76:40:49.888,04:54:48.2930,12.725,2459087.404531,6.9e-05,2.08453882,5.3e-07,6.49,12.18816164963638,2.15,0.11329,5.785,82.01,0.0,0.0
TOI-163b,medium,-71:53:44.150,05:19:04.3570,11.47,2459060.866509,9.6e-05,4.2311144,1.5e-06,5.09,9.65663260609408,4.42,0.0908,7.55,87.24,0.0,0.0
TOI-169b,high,-75:11:55.960,01:07:06.8032,12.355,2458943.17851,0.00038,2.2554454,4.4e-06,13.29,5.79950289975145,1.71,0.0866,5.88,80.98,0.0,0.0
TOI-172b,high,-26:41:33.474,21:06:31.6564,11.3,2459085.0724,0.001,9.476936,2.6e-05,12.29,3.801896345392617,4.73,0.05588,11.09,88.2,0.3806,57.1
TOI-178d,high,-30:27:13.464,00:29:12.3030,11.95,2458747.14623,0.00087,6.5577,1.6e-05,33.32,1.5649452269170578,2.35,0.03623,19.57,88.58,0.0,0.0
TOI-178e,high,-30:27:13.464,00:29:12.3030,11.95,2458751.4658,0.0016,9.961881,4.2e-05,46.54,1.104667219000276,2.5,0.0311,25.87,88.71,0.0,0.0
TOI-178g,high,-30:27:13.464,00:29:12.3030,11.95,2458748.0302,0.0023,20.7095,0.00014,38.48,1.3808340237503451,2.17,0.0404,42.13,88.823,0.0,0.0
TOI-181b,alert,-34:29:29.034,23:28:41.2700,11.19,2458358.12,0.00027,4.532,2e-06,6.09,8.386265304243762,2.45,0.0854,15.5641,88.28,0.1543,263.09000000000003
TOI-198b,high,-27:07:19.678,00:09:04.3584,11.67,2459480.048,0.0004,10.2152,6e-05,50.3,1.0954616588419404,1.63,0.0299,49.086,89.89,0.0,0.0
TOI-201b,alert,-54:54:38.555,05:49:36.4133,9.715,2459011.79063,0.00012,52.978197,1.7e-05,5.0,6.407069870201601,4.81,0.0789,50.9,88.88,0.28,82.0
TOI-206b,high,-62:31:20.465,04:54:56.9355,14.865,2458325.5431,0.0004,0.7363104,3e-07,148.83,1.1875172604252968,0.67,0.0331,6.69,84.33829211997926,0.0,0.0
TOI-216.01,ttvs,-63:15:36.313,04:55:55.2548,12.418,2458848.97,0.022,34.5073,0.0042,5.55,19.27644297155482,5.47,0.1235,55.07,89.83,0.029,275.0
TOI-216.02,ttvs,-63:15:36.313,04:55:55.2548,12.418,2458892.985,0.064,17.203,0.013,19.11,3.7374574242842673,2.02,0.0833,33.25,88.364,0.132,193.0
TOI-237b,high,-29:24:54.188,23:32:58.2699,16.37,2458697.7198,0.0008,5.436098,3.9e-05,48.85,4.713246801067845,1.22,0.062,34.7,89.5,0.0,0.0
TOI-244b,high,-36:43:05.414,00:42:16.9405,12.74,2459489.1482,0.0025,7.39726,2e-05,81.27,0.8837337752002209,1.24,0.0278,39.663,89.206,0.0,0.0
TOI-251b,high,-37:15:21.133,23:32:14.8377,9.933,2459107.8391,0.001,4.9377254,1e-05,47.48,0.9205560158335634,2.21,0.028,16.3,88.66414914850677,0.0,0.0
TOI-257b,high,-50:49:56.580,03:10:03.9823,7.54,2458808.67779,0.00051,18.387686,2.8e-05,18.58,1.334806222958667,6.49,0.03521,17.6,87.91,0.0,0.0
TOI-262b,high,-31:04:11.530,02:10:08.0354,8.91,2459136.5766,0.001,11.14529,3e-05,74.93,0.4971002485501243,1.52,0.022,41.211,89.011,0.0,0.0
TOI-269b,high,-54:10:37.925,05:03:23.0611,14.41,2458747.91977,0.00036,3.6977155,3.7e-06,35.88,4.8789468839178864,0.99,0.0638,18.53,88.14,0.425,74.0
TOI-270b,high,-51:57:22.436,04:33:39.7202,12.617,2458891.1154,0.0013,3.360156,1.2e-05,79.61,1.0678449783669335,1.39,0.03,17.48,88.65,0.0,0.0
TOI-270c,alert,-51:57:22.436,04:33:39.7202,12.617,2458734.79487,0.00029,5.6605746,4.6e-06,19.46,4.1609131915677064,1.66,0.05825,27.01,89.53,0.0,0.0
TOI-270d,alert,-51:57:22.436,04:33:39.7202,12.617,2458776.58464,0.00037,11.379568,1.2e-05,23.36,3.240357175734143,2.15,0.05143,41.56,89.69,0.0,0.0
TOI-277b,high,-20:57:07.932,01:16:18.5352,13.5,2459119.8264,0.0017,3.994,0.0004,16.95,5.514130534843045,1.64,0.0675,18.752497989306114,88.9,0.0,0.0
TOI-411c,high,-42:45:45.185,03:39:16.7617,8.26,2459161.60861,0.00069,9.573083,1.4e-05,70.77,0.4142502071251036,3.31,0.01912,19.61,88.52726910013182,0.0,0.0
TOI-421b,high,-14:16:37.047,05:27:24.8258,9.93,2458441.2847,0.002,5.19672,0.00049,79.81,0.6167725306084876,1.05,0.0285,14.34,85.68,0.163,128.9
TOI-421c,alert,-14:16:37.047,05:27:24.8258,9.93,2458681.14621,0.00059,16.067531,2.8e-05,12.81,2.9826014913007457,2.68,0.0542,29.91,88.353,0.152,114.7
TOI-431b,high,-26:43:28.268,05:33:04.6006,9.13,2458596.6668,0.0013,0.490052,2.2e-06,134.25,0.3129890453834116,1.07,0.016,3.42,84.3,0.0,0.0
TOI-431d,high,-26:43:28.268,05:33:04.6006,9.13,2458764.61739,0.00013,12.4610213,4.3e-06,14.64,2.135689956733867,3.42,0.041,28.65,89.7,0.0,0.0
TOI-444b,high,-26:45:57.260,04:16:44.1893,9.89,2459190.0391,0.0008,17.9636,4e-05,26.52,1.30718954248366,3.76,0.0325,36.768,89.647,0.0,0.0
TOI-451b,high,-37:56:23.219,04:11:51.9470,10.94,2458410.99,0.0056,1.858703,2.5e-05,103.11,0.478689128233453,2.05,0.0199,6.93,88.2,0.0,0.0
TOI-451c,high,-37:56:23.219,04:11:51.9470,10.94,2459000.1144,0.002,9.192402,6.4e-05,34.05,1.2887784221669887,3.57,0.03237,20.12,89.61,0.0,0.0
TOI-451d,high,-37:56:23.219,04:11:51.9470,10.94,2458727.56733,0.00089,16.364909,4.3e-05,20.07,2.135689956733867,4.1,0.04246,29.56,89.25,0.0,0.0
TOI-470b,high,-25:01:52.039,06:16:02.3170,11.17,2459205.9825,0.0011,12.19148,3e-05,18.06,2.807695848292368,3.06,0.0477,30.917,89.527,0.0,0.0
TOI-481b,high,-57:23:05.599,07:22:02.9954,9.97,2458924.88754,0.00013,10.3311565,3.9e-06,7.39,4.611985639326153,5.76,0.0614,12.52,89.2,0.153,64.8
TOI-500b,high,-47:35:13.872,07:06:13.9752,10.59,2458468.3905,0.0017,0.548177,1.9e-05,183.84,0.2853723649084047,1.02,0.01577,3.769,82.09,0.063,228.5
TOI-530b,medium,+12:52:54.652,06:53:39.0655,15.454,2459128.12298,0.00047,6.3875892,7.4e-06,17.98,29.11718678081561,2.58,0.155,20.97,89.1,0.0,0.0
TOI-532b,low,+11:33:46.083,05:40:19.1883,14.413,2458470.576777,0.00086,2.3266508,3e-06,16.25,9.223971278652305,1.75,0.0877,10.49,88.08,0.0,0.0
TOI-540b,high,-47:56:15.529,05:05:14.4286,14.365,2458411.82601,0.00046,1.2391491,1.7e-06,86.97,1.887139832458805,0.48,0.0436,13.9,86.8,0.0,0.0
TOI-544b,high,-00:20:33.225,05:29:09.5817,10.78,2458469.757,0.0005,1.548351,1.5e-06,61.09,0.8745282150418853,1.17,0.0282,8.17,85.50711065715431,0.0,0.0
TOI-559b,high,-31:09:45.700,03:07:16.4955,11.107,2458893.81305,0.00023,6.9839095,5.1e-06,5.0,10.006443892110834,5.16,0.09097,12.61,89.08,0.151,297.7
TOI-561b,high,+06:12:58.924,09:52:44.5490,10.25,2458517.498,0.001,0.446578,1.7e-05,167.25,0.2853723649084047,1.33,0.0152,2.646,87.0,0.0,0.0
TOI-561c,high,+06:12:58.924,09:52:44.5490,10.25,2459055.2229,0.0012,10.778829,2.5e-05,31.82,1.1691061401086256,3.85,0.0308,22.1,89.53,0.06,200.0
TOI-564b,medium,-16:02:10.607,08:41:10.8395,11.308,2458950.80383,0.00032,1.6511442,1.5e-06,18.55,3.3600294577925065,1.04,0.096,5.32,78.38,0.072,94.0
TOI-615b,medium,-40:32:37.721,08:53:38.1089,10.82,2459259.49383,0.00017,4.6615983,2.5e-06,5.0,11.396483476019515,4.18,0.10023,8.458,86.73,0.0,0.0
TOI-620b,high,-12:09:55.752,09:28:41.5890,12.262,2458992.19724,0.00078,5.0988179,4.5e-06,119.65,0.7824726134585289,0.82,0.0627,18.87,87.47,0.22,276.0
TOI-622b,high,-46:29:03.195,08:21:13.2199,9.0,2458520.69176,0.00031,6.402513,3.1e-05,8.06,3.875540826659302,3.94,0.05989,10.637,86.62,0.0,0.0
TOI-628b,low,+01:46:03.195,06:37:03.1360,10.11,2458629.47972,0.00039,3.4095675,7e-06,5.0,7.870753935376968,3.8,0.08108,7.78,88.41,0.072,286.0
TOI-640b,high,-36:38:46.144,06:38:56.3074,10.51,2459150.26184,0.00027,5.0037904,5.8e-06,6.03,6.793703396851698,3.64,0.08738,6.82,82.54,0.05,159.0
TOI-672b,low,-39:19:40.059,11:11:57.6933,13.576,2458546.4799,0.0002,3.633575,1e-06,12.1,9.21476571849397,1.8,0.0885,15.503,88.43,0.0,0.0
TOI-674b,low,-36:51:29.134,10:58:20.9850,14.203,2458862.847755,8.8e-05,1.9771642,5.1e-07,11.86,14.333057166528583,1.09,0.114,12.8,87.21,0.0,0.0
TOI-677b,medium,-50:27:47.793,09:36:28.6865,9.82,2458918.28242,0.00013,11.2366063,4.1e-06,5.0,10.043266132744177,2.47,0.0942,21.5,87.63,0.435,70.47
TOI-700b,high,-65:34:45.521,06:28:23.2287,13.08,2458490.9867,0.0027,9.97702,0.00024,140.83,0.6167725306084876,2.4,0.0224,34.3,89.66,0.081,285.0
TOI-700c,high,-65:34:45.521,06:28:23.2287,13.08,2458821.62193,0.00042,16.051115,1.8e-05,33.47,2.9365736905090674,1.49,0.0573,47.1,88.868,0.078,81.0
TOI-712b,high,-65:49:33.498,06:11:44.6726,10.84,2458757.26886,0.00068,9.531361,1.8e-05,55.97,0.9389671361502347,1.38,0.02772,27.96183592933687,88.22,0.54,68.0
TOI-712c,alert,-65:49:33.498,06:11:44.6726,10.84,2458946.39598,0.00093,51.69906,0.00017,23.78,1.6938230691337568,4.57,0.03669,79.43326788861724,89.78,0.089,115.0
