name,priority,dec_j2000,ra_j2000,v_mag,t0_bjd_tdb,t0_unc,period_days,period_unc,min_telescope_inches,depth_r_mmag,duration_hours,rp_over_rs,sma_over_rs,inclination,eccentricity,periastron
HAT-P-62b,low,+48:18:03.756,04:58:01.0287,12.539,2457332.66095,0.00024,2.64532306,9.5e-07,6.56,10.807327625886035,3.12,0.0942,6.93,87.93,0.0,0.0
HAT-P-64b,low,+02:25:52.643,04:35:53.8468,12.855,2457751.46354,0.00063,4.007232,1.7e-06,6.45,12.1421338488447,4.96,0.1007,6.67,88.01,0.0,0.0
HAT-P-65b,medium,+11:59:21.818,21:03:37.3130,13.16,2458280.04462,0.00018,2.60544724,5e-07,7.96,12.676056338028168,4.43,0.1045,4.57,84.2,0.0,0.0
HAT-P-66b,low,+53:57:03.201,10:02:17.4467,12.99,2458248.50549,0.00033,2.972089,1.1e-06,9.33,9.04906563564393,4.74,0.0872,5.01,86.2,0.0,0.0
HAT-P-67b,high,+44:46:37.067,17:06:26.5609,10.11,2458770.48632,0.00031,4.8101042,1.8e-06,5.0,8.41388198471877,7.0,0.0834,5.69,88.8,0.0,0.0
HAT-P-68b,low,+23:56:17.611,07:53:55.9827,13.802,2458140.34562,0.00011,2.29840555,1.8e-07,10.08,34.98112860167541,2.1,0.1644,9.6,88.73,0.0,0.0
HAT-P-69b,medium,+03:42:38.022,08:42:01.3561,9.77,2459170.75396,0.00016,4.7869883,3.3e-06,5.0,8.726871030102181,5.15,0.08703,7.32,87.19,0.0,0.0
HAT-P-70b,low,+09:59:52.803,04:58:12.5627,9.47,2459089.978883,8.9e-05,2.74431939,9.8e-07,5.0,10.494338580502623,3.67,0.09887,5.31,83.5,0.0,0.0
HATS-1b,medium,-23:21:17.428,11:42:06.0805,12.059,2458711.86936,0.00019,3.4464563,7.6e-07,5.85,17.647058823529413,2.5,0.1288,9.2,85.6,0.12,18.0
HATS-2b,low,-22:33:46.816,11:46:57.3702,13.62,2457108.30842,0.0001,1.354133683,8.6e-08,9.1,22.03811101905551,2.09,0.1335,5.5,87.2,0.0,0.0
HATS-3b,medium,-24:25:43.539,20:49:49.7852,12.43,2456599.44946,0.00013,3.54785091,5e-07,5.22,11.645033600294578,3.62,0.1011,7.42,86.2,0.0,0.0
HATS-4b,low,-22:32:48.815,06:16:26.9016,13.459,2458219.36583,0.00023,2.51672679,4.2e-07,8.01,15.75071343091227,2.5,0.113,8.43,88.5,0.0,0.0
HATS-5b,low,-21:28:55.062,04:28:53.4831,12.63,2456726.31351,0.00013,4.76338959,6.4e-07,6.04,14.415907207953603,3.0,0.1076,13.4,89.3,0.019,204.0
HATS-6b,low,-19:01:53.970,05:52:35.2366,15.16,2457112.60363,0.00011,3.32526424,3.7e-07,11.99,38.46083034152628,2.05,0.1798,13.65,88.21,0.0,0.0
HATS-7b,low,-21:12:27.722,13:55:25.6669,13.34,2457340.55196,0.00035,3.1853109,1e-06,17.11,6.121697505293197,2.3,0.0711,10.6,87.9,0.0,0.0
HATS-9b,medium,-20:09:58.849,19:23:14.4314,13.276,2457380.70329,4e-05,1.915311,9e-07,13.55,6.342630949093252,3.53,0.072,4.36,86.5,0.0,0.0
HATS-10b,medium,-22:12:16.115,19:37:13.6352,13.113,2456706.34481,0.0003,3.3128281,1.3e-06,8.82,9.711865967044094,3.03,0.0903,8.7,87.8,0.0,0.0
HATS-11b,medium,-22:23:23.721,19:17:36.1800,14.018,2457338.608479,6.7e-05,3.6191546,1e-06,9.8,14.130534843045199,4.4,0.108,6.88,88.3,0.0,0.0
HATS-13b,medium,-26:05:48.033,21:07:50.7511,13.887,2457375.29601,0.00019,3.04405362,4.7e-07,9.22,24.10936205468103,2.64,0.1402,9.82,88.5,0.0,0.0
HATS-17b,high,-47:36:49.287,12:48:45.5453,12.39,2458390.77872,0.00067,16.254688,1.1e-05,9.9,6.250575347509896,4.78,0.073,25.8,89.1,0.0,0.0
HATS-18b,low,-29:09:21.755,11:35:49.7771,14.067,2458217.64374,0.00016,0.8378434,1.6e-07,9.94,26.07935192856485,1.94,0.1456,3.78,86.66343950049071,0.0,0.0
HATS-22b,medium,-29:32:35.957,11:36:02.3390,13.46,2458278.17664,0.00017,4.72281727,8.1e-07,8.47,23.943661971830988,2.19,0.143,15.7,87.96,0.08,56.0
HATS-23b,low,-50:04:02.445,19:05:28.0082,13.9,2457580.57342,0.00041,2.1605107,1.2e-06,10.23,13.891190278928471,1.83,0.159,6.08,81.02,0.0,0.0
HATS-24b,low,-61:44:50.367,17:55:33.7673,12.83,2458912.88473,0.00013,1.34849689,2.7e-07,7.43,20.463960231980117,2.45,0.131,4.67,86.6,0.0,0.0
HATS-25b,high,-23:46:52.255,13:51:37.8639,13.1,2458426.47971,0.00021,4.29864716,8.1e-07,8.1,15.511368866795545,3.22,0.117,10.0,86.9,0.0,0.0
HATS-26b,high,-28:35:08.098,09:39:42.4488,12.96,2458422.8508,0.00057,3.3023928,2.3e-06,8.9,9.21476571849397,5.28,0.088,5.0,86.2,0.0,0.0
HATS-27b,low,-46:35:15.785,12:54:12.6109,12.77,2458309.16373,0.00039,4.6370496,2.1e-06,8.47,9.306821320077326,4.89,0.089,7.5,87.3,0.0,0.0
HATS-29b,medium,-54:53:35.450,19:00:23.1569,12.61,2457925.49744,0.00037,4.6058787,1.7e-06,6.11,16.588419405320813,3.22,0.12,11.0,87.4,0.0,0.0
HATS-30b,medium,-59:56:33.245,00:22:28.4920,12.205,2458378.82983,0.00016,3.17435131,5.9e-07,6.05,14.830157415078707,2.76,0.1137,8.8,86.8,0.0,0.0
HATS-31b,medium,-24:25:38.568,12:46:48.6784,13.11,2458193.0945,0.001,3.3779344,2.8e-06,9.75,9.518549203719045,4.64,0.091,5.5,85.0,0.0,0.0
HATS-33b,low,-55:19:48.378,19:38:32.0768,11.91,2458840.28135,0.00017,2.54956317,8.2e-07,5.4,18.53079259872963,2.7,0.124,7.8,87.6,0.0,0.0
HATS-34b,medium,-62:28:09.616,00:03:05.8703,13.85,2458241.85896,0.00034,2.10616098,8.2e-07,10.72,13.47694007180337,1.56,0.15,6.96,82.28,0.0,0.0
HATS-35b,low,-63:33:56.137,19:46:45.1810,12.56,2458604.31463,0.00016,1.82100088,2.8e-07,6.79,13.2007732670533,3.15,0.1051,4.79,86.9,0.0,0.0
HATS-37Ab,alert,-22:59:12.730,13:19:12.4636,12.341,2458006.80225,0.0005,4.3315366,4.1e-06,10.08,6.2137531068765535,2.92,0.0707,12.05,89.33,0.0,0.0
HATS-38b,alert,-25:16:34.556,10:17:05.0796,11.97,2457725.16121,0.00072,4.375021,1e-05,17.96,3.7466629844426036,3.22,0.057,9.81,87.21,0.0,0.0
HATS-39b,medium,-29:56:16.420,07:29:40.6108,12.75,2457704.38304,0.00039,4.5776335,2.3e-06,7.87,10.218171775752554,3.73,0.099,8.0,85.0,0.0,0.0
HATS-40b,high,-29:46:36.494,06:42:17.1043,13.38,2457217.29095,0.0004,3.2642813,1.8e-06,16.03,6.09408082481819,5.39,0.072,4.74,85.8,0.0,0.0
HATS-41b,medium,-27:03:01.422,06:54:04.1655,12.68,2458754.16506,0.00042,4.1936623,1.5e-06,14.3,6.02964190370984,2.27,0.08,7.3,80.4,0.38,136.0
HATS-42b,medium,-33:26:14.401,07:13:48.5748,13.62,2458290.56434,0.00033,2.29210275,6.4e-07,10.36,11.00984994936942,3.29,0.0976,5.36,85.1,0.0,0.0
HATS-43b,medium,-30:58:15.011,05:22:09.1675,13.59,2458338.30607,0.00014,4.3888492,1e-06,9.1,28.030930682132006,3.15,0.1492,13.0,89.2,0.17,330.0
HATS-45b,high,-21:54:38.617,06:47:58.6224,13.31,2457983.29452,0.0005,4.1876194,1.9e-06,9.76,10.475927460185952,3.06,0.1,9.0,85.6,0.0,0.0
HATS-46b,medium,-56:18:58.081,00:26:48.5936,13.63,2458320.41791,0.00034,4.7423693,2e-06,10.08,12.915400902144894,2.42,0.109,13.6,87.32,0.0,0.0
HATS-47b,low,-49:39:53.868,19:09:56.2503,14.805,2458659.88275,0.0005,3.9228021,2.4e-06,11.95,32.30231059559974,1.88,0.1722,15.53,87.58644403682541,0.0,0.0
HATS-48Ab,medium,-59:34:45.757,19:14:41.2747,14.35,2457955.49543,0.00017,3.13166726,5.7e-07,11.59,17.159164135137623,2.35,0.1148,11.33,89.58,0.0,0.0
HATS-50b,medium,-26:04:39.292,20:01:42.7298,14.07,2456870.34792,0.00068,3.8297015,4.6e-06,9.99,12.574795176286477,3.08,0.1038,9.72,87.54,0.0,0.0
HATS-51b,medium,-29:03:31.045,06:51:23.4013,12.471,2458816.90482,0.00022,3.34886782,8.2e-07,5.88,12.04087268710301,3.32,0.101,7.93,87.1,0.0,0.0
HATS-52b,low,-31:16:09.491,09:20:21.0456,13.669,2458731.65067,0.0002,1.36665617,2.8e-07,9.1,21.007088281321916,2.12,0.135,5.14,84.7,0.0,0.0
HATS-53b,low,-33:51:36.203,11:46:30.8411,13.944,2458281.1312,0.00023,3.85377818,8.8e-07,9.16,19.1935929301298,3.51,0.125,9.3,88.78,0.0,0.0
HATS-55b,low,-32:45:19.515,07:37:08.0193,13.489,2459229.3389,0.0012,4.2041844,3e-06,8.27,17.536592101629385,2.63,0.1237,12.43,87.78690152997163,0.0,0.0
HATS-56b,alert,-45:47:57.995,12:00:39.6300,11.48,2458890.81912,0.00032,4.3247662,1.9e-06,7.81,6.517536592101629,4.69,0.0789,5.902,83.29,0.0,0.0
HATS-57b,low,-19:03:24.326,04:03:47.6005,11.59,2458697.58795,0.00019,2.35061721,6.2e-07,5.62,18.02448679002117,2.5,0.1218,7.82,87.88,0.0,0.0
HATS-58Ab,medium,-48:58:42.227,12:27:08.9728,11.572,2459036.64202,0.00046,4.2180733,3.1e-06,8.95,6.563564392893308,3.19,0.0786,8.71,85.69,0.0,0.0
HATS-60b,low,-14:59:30.345,22:45:27.3643,12.641,2458824.02814,0.00065,3.5608104,3.7e-06,9.11,7.659026051735248,3.88,0.081,6.93,86.3,0.0,0.0
HATS-61b,high,-25:20:58.954,04:06:37.8675,13.247,2459150.6509,0.0071,7.817932,5.6e-05,12.71,6.250575347509896,5.54,0.0738,10.23,87.15,0.0,0.0
HATS-62b,medium,-24:18:12.496,20:49:47.8333,14.171,2455808.05158,0.00043,3.2768837,3.3e-06,9.74,16.22019699898739,2.78,0.1159,9.59,87.92,0.0,0.0
